"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"CW","2021-11-14 12:05:00",12.6,-1.7,0.05,100,"GOES","Coxit"
"CE","2021-11-14 12:05:00",12.6,-2.1,0.04,1,"GOES","Coxit"
"FE","2021-11-15 00:05:00",12.7,8.6,0.12,100,"GOES","Fish Creek"
"CW","2021-11-15 00:05:00",12.6,1.1,0.06,100,"GOES","Coxit"
"CE","2021-11-15 00:05:00",12.6,1.1,0.07,1,"GOES","Coxit"
"TW","2021-11-15 12:05:00",12.5,7.7,0.1,7,"GOES","Tripps Knob"
"FE","2021-11-15 12:05:00",12.7,6.9,0.1,100,"GOES","Fish Creek"
"CW","2021-11-15 12:05:00",12.6,0.6,0.07,100,"GOES","Coxit"
"CE","2021-11-15 12:05:00",12.6,0,0.07,1,"GOES","Coxit"
"TW","2021-11-16 00:05:00",12.5,7.6,0.08,7,"GOES","Tripps Knob"
"FE","2021-11-16 00:05:00",12.7,7.9,0.09,100,"GOES","Fish Creek"
"CW","2021-11-16 00:05:00",12.6,1.8,0.08,100,"GOES","Coxit"
"CE","2021-11-16 00:05:00",12.6,1.4,0.08,1,"GOES","Coxit"
"TW","2021-11-16 12:05:00",12.4,-0.5,0.08,7,"GOES","Tripps Knob"
"FE","2021-11-16 12:05:00",12.6,-1,0.1,100,"GOES","Fish Creek"
"CW","2021-11-16 12:05:00",12.6,-5,0.08,100,"GOES","Coxit"
"CE","2021-11-16 12:05:00",12.6,-5,0.07,1,"GOES","Coxit"
